"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1836","Check displaying of empty course list","LMS system","2026-08-22","passed","2026-08-22","Courses","Courses","",""
"","1863","User login with wrong email or password","LMS system","2026-08-22","passed","2026-08-22","Authorization","Authentication","",""
"","2591","Create course","LMS system","2026-08-22","passed","2026-08-22","Courses","Courses","",""
"","1983","User login with wrong email or password","LMS system","2026-08-22","passed","2026-08-22","Authorization","Authentication","",""
"","3366","Check edit course","LMS system","2026-08-22","passed","2026-08-22","Courses","Courses","",""
"","2153","Check displaying of dashboard page","LMS system","2026-08-22","passed","2026-08-22","Dashboard","Dashboard","",""
"","3805","User login with correct email and password","LMS system","2026-08-22","passed","2026-08-22","Authorization","Authentication","",""
"","2231","User login with wrong email or password","LMS system","2026-08-22","passed","2026-08-22","Authorization","Authentication","",""
"","1815","User login with correct email, username and password","LMS system","2026-08-22","passed","2026-08-22","Registration","Authentication","",""
"","1713","Navigation from login page to registration page","LMS system","2026-08-22","passed","2026-08-22","Authorization","Authentication","",""
