"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2068","Check displaying of dashboard page","LMS system","2026-08-17","passed","2026-08-17","Dashboard","Dashboard","",""
"","1912","User login with wrong email or password","LMS system","2026-08-17","passed","2026-08-17","Authorization","Authentication","",""
"","1761","User login with wrong email or password","LMS system","2026-08-17","passed","2026-08-17","Authorization","Authentication","",""
"","0","test_regression_case","Tests.pytests","2026-08-17","passed","2026-08-17","","test_markers","",""
"","0","test_critical_login","Tests.pytests","2026-08-17","passed","2026-08-17","","test_markers","",""
"","3623","User login with correct email and password","LMS system","2026-08-17","passed","2026-08-17","Authorization","Authentication","",""
"","1640","Navigation from login page to registration page","LMS system","2026-08-17","passed","2026-08-17","Authorization","Authentication","",""
"","1956","User login with correct email, username and password","LMS system","2026-08-17","passed","2026-08-17","Registration","Authentication","",""
"","0","test_forgot_password_link","Tests.pytests","2026-08-17","passed","2026-08-17","TestUserInterface","test_markers","",""
"","1807","Check displaying of empty course list","LMS system","2026-08-17","passed","2026-08-17","Courses","Courses","",""
"","2672","Create course","LMS system","2026-08-17","passed","2026-08-17","Courses","Courses","",""
"","2010","User login with wrong email or password","LMS system","2026-08-17","passed","2026-08-17","Authorization","Authentication","",""
"","3163","Check edit course","LMS system","2026-08-17","passed","2026-08-17","Courses","Courses","",""
